yearID,lgID,teamID,franchID,name,park,attendance,BA,2B,3B,HR,teamIDBR,teamIDlahman45,teamIDretro,Capacity,Type,Surface,LLd,LFd,LCd,CFd,RCd,RFd,RLd,LLh,LFh,LCh,CFh,RCh,RFh,RLh,BA LH,2B LH,3B LH,HR LH,BA RH,2B RH,3B RH,HR RH,BA Overall,2B Overall,3B Overall,HR Overall,path
1990,AL,SAM,SAM,Samsung Lions,Daegu Citizen Baseball Stadium,,,,,,,,,10000,,,321,339,356,374,356,339,321,9,9,9,9,9,9,9,0.998742654,0.988539274,1.031076224,1.02031348,0.996012347,1.019041535,1.05224151,1.031374356,1.00014982,1.024029577,1.062530623,1.010010591,
1990,AL,HAI,HAI,Haitai Tigers,Mudeung Baseball Stadium,,,,,,,,,12500,,,321,339,356,374,356,339,321,22,22,22,22,22,22,22,0.999290741,1.068468596,1.023677114,0.984811517,1.008266777,1.046425227,0.996216401,1.025769348,0.999899149,1.061166821,0.998569347,0.996519647,
1990,AL,TAI,SM,Taipyungyang Dolphins,Sungui baseball stadium,,,,,,,,,12000,,,298,319,339,360,339,319,298,24,24,24,24,24,24,24,0.997207739,1.03457462,1.018155053,0.982899836,1.007080425,1.028892035,0.998072073,0.994559416,1.001647635,1.030704658,0.997348234,0.99448567,
1990,AL,MBC,MBC,LG Twins,Seoul Sports Complex Baseball Stadium,,,,,,,,,25000,,,328,355,383,410,383,355,328,8,8,8,8,8,8,8,0.991622135,0.945319516,0.968803385,0.946006378,0.996600705,0.95121723,0.952085761,0.938133178,0.996209848,0.935659508,0.969034626,0.939690226,
1990,AL,OB,OB,OB Bears,Seoul Sports Complex Baseball Stadium,,,,,,,,,25000,,,328,355,383,410,383,355,328,8,8,8,8,8,8,8,0.991622135,0.945319516,0.968803385,0.946006378,0.996600705,0.95121723,0.952085761,0.938133178,0.996209848,0.935659508,0.969034626,0.939690226,
1991,AL,LOT,LOT,Lotte Giants,Sajik Baseball Stadium,,,,,,,,,30154,,,311,336,362,387,362,336,311,15,15,15,15,15,15,15,1.007560142,1.039789455,1.009890527,1.051720341,1.007122756,1.031892241,1.006195393,1.027157443,1.000910477,1.021643234,0.985646507,1.056857874,
1991,AL,SBW,SBW,Ssangbangwool Raiders,Jeonju Baseball Stadium,,,,,,,,,10000,,,311,327,344,360,344,327,311,6,6,6,6,6,6,6,1.016702331,0.978787965,1.04837215,1.034565307,0.990578646,0.979308888,0.977249364,1.014673596,0.999223961,0.976711948,1.052261056,1.052528817,
1991,AL,BGR,BGR,Bingre Eagles,Hanwha Life Eagles Park,,,,,,,,,10500,,,321,339,356,374,356,339,321,8,8,8,8,8,8,8,1.009131023,0.984103479,0.965846359,1.057773907,0.991001962,0.977235729,1.049763508,1.040529633,1.0051956,0.997832942,1.002878305,1.046840013,
1991,AL,SAM,SAM,Samsung Lions,Daegu Citizen Baseball Stadium,,,,,,,,,10000,,,321,339,356,374,356,339,321,9,9,9,9,9,9,9,0.996359607,0.991534835,1.023951171,1.015275273,0.997352888,1.022053693,1.05566139,1.02921236,1.000260699,1.027436384,1.054597913,1.002431353,
1991,AL,HAI,HAI,Haitai Tigers,Mudeung Baseball Stadium,,,,,,,,,12500,,,321,339,356,374,356,339,321,22,22,22,22,22,22,22,0.996906386,1.071706366,1.016603191,0.979948615,1.009623811,1.049518327,0.999454195,1.023619102,1.000010001,1.064697179,0.991114163,0.989041647,
1991,AL,TAI,SM,Taipyungyang Dolphins,Sungui baseball stadium,,,,,,,,,12000,,,298,319,339,360,339,319,298,24,24,24,24,24,24,24,0.994828354,1.037709682,1.011119289,0.978046374,1.008435862,1.031933309,1.001315898,0.992474593,1.00175868,1.034133673,0.989902167,0.987022933,
1991,AL,LG,MBC,LG Twins,Seoul Sports Complex Baseball Stadium,,,,,,,,,25000,,,328,355,383,410,383,355,328,8,8,8,8,8,8,8,0.989256078,0.948184109,0.962108656,0.941335092,0.997942037,0.954028907,0.955180126,0.936166637,0.996320291,0.93877232,0.961799945,0.932638681,
1991,AL,OB,OB,OB Bears,Seoul Sports Complex Baseball Stadium,,,,,,,,,25000,,,328,355,383,410,383,355,328,8,8,8,8,8,8,8,0.989256078,0.948184109,0.962108656,0.941335092,0.997942037,0.954028907,0.955180126,0.936166637,0.996320291,0.93877232,0.961799945,0.932638681,
1992,AL,LOT,LOT,Lotte Giants,Sajik Baseball Stadium,,,,,,,,,30154,,,311,336,362,387,362,336,311,15,15,15,15,15,15,15,1.007666305,1.041124257,1.01091344,1.053547864,1.007089624,1.031543652,1.004210797,1.028600725,1.00089411,1.024677097,0.985715734,1.057545065,
1992,AL,SBW,SBW,Ssangbangwool Raiders,Jeonju Baseball Stadium,,,,,,,,,10000,,,311,327,344,360,344,327,311,6,6,6,6,6,6,6,1.016809458,0.980044458,1.049434041,1.036363021,0.990546059,0.978978063,0.97532186,1.016099336,0.999207623,0.979612384,1.052334962,1.053213193,
