LahmanPlayerID,Year,UniNo,dummy,dummy,dummy,dummy
52002,2022,106,,,,
52009,2023,25,,,,
52009,2022,25,,,,
52025,2024,4,,,,
52025,2022,25,,,,
52043,2024,43,,,,
52043,2023,43,,,,
52043,2022,43,,,,
52060,2024,60,,,,
52060,2023,60,,,,
52060,2022,60,,,,
52063,2023,21,,,,
52063,2022,63,,,,
52103,2025,3,,,,
52103,2022,103,,,,
52105,2025,44,,,,
52105,2022,105,,,,
52112,2022,12,,,,
52119,2025,58,,,,
52119,2022,65,,,,
52121,2025,53,,,,
52121,2022,121,,,,
52125,2022,25,,,,
52140,2022,40,,,,
52145,2022,45,,,,
52149,2022,49,,,,
52154,2025,26,,,,
52154,2022,54,,,,
52204,2025,29,,,,
52204,2024,29,,,,
52204,2023,29,,,,
52204,2022,62,,,,
52206,2025,42,,,,
52206,2024,42,,,,
52206,2023,42,,,,
52206,2022,42,,,,
52234,2022,34,,,,
52257,2024,48,,,,
52257,2023,48,,,,
52257,2022,57,,,,
52267,2025,48,,,,
52267,2024,124,,,,
52267,2022,67,,,,
52295,2024,64,,,,
52295,2023,95,,,,
52295,2022,95,,,,
52305,2025,14,,,,
52305,2024,14,,,,
52305,2023,14,,,,
52305,2022,5,,,,
52308,2022,8,,,,
52330,2025,30,,,,
52330,2024,30,,,,
52330,2023,30,,,,
52330,2022,30,,,,
52348,2024,48,,,,
52348,2023,48,,,,
52348,2022,48,,,,
52366,2025,66,,,,
52366,2022,66,,,,
52391,2023,59,,,,
52391,2022,2,,,,
52394,2024,59,,,,
52394,2023,94,,,,
52394,2022,94,,,,
52395,2025,95,,,,
52395,2024,95,,,,
52395,2023,95,,,,
52395,2022,95,,,,
52397,2024,38,,,,
52397,2023,97,,,,
52397,2022,97,,,,
52402,2023,25,,,,
52402,2022,102,,,,
52405,2025,132,,,,
52405,2024,32,,,,
52405,2023,32,,,,
52405,2022,32,,,,
52415,2025,7,,,,
52415,2024,7,,,,
52415,2023,7,,,,
52415,2022,15,,,,
52424,2025,8,,,,
52424,2024,8,,,,
52424,2022,24,,,,
52430,2025,30,,,,
52430,2024,30,,,,
52430,2023,30,,,,
52430,2022,30,,,,
52457,2023,57,,,,
52457,2022,57,,,,
52460,2024,53,,,,
52460,2023,53,,,,
52460,2022,60,,,,
52504,2025,50,,,,
52504,2024,50,,,,
52504,2023,50,,,,
52514,2025,119,,,,
52514,2022,14,,,,
52516,2025,5,,,,
52516,2023,63,,,,
52516,2022,16,,,,
52526,2022,26,,,,
52528,2025,28,,,,
52528,2024,28,,,,
52528,2023,28,,,,
52528,2022,28,,,,
52530,2025,37,,,,
52530,2024,30,,,,
52530,2023,30,,,,
52530,2022,30,,,,
52547,2023,17,,,,
52547,2022,47,,,,
52557,2022,57,,,,
52558,2025,26,,,,
52558,2024,26,,,,
52558,2023,26,,,,
52558,2022,26,,,,
52568,2025,6,,,,
52568,2023,6,,,,
52568,2022,68,,,,
52591,2025,91,,,,
52591,2024,91,,,,
52591,2023,91,,,,
52591,2022,91,,,,
52605,2025,5,,,,
52605,2024,5,,,,
52605,2023,5,,,,
52605,2022,5,,,,
52606,2024,45,,,,
52606,2023,45,,,,
52606,2022,45,,,,
52630,2024,30,,,,
52630,2023,30,,,,
52630,2022,30,,,,
52637,2022,37,,,,
52639,2025,39,,,,
52639,2024,39,,,,
52639,2023,39,,,,
52639,2022,39,,,,
52641,2025,41,,,,
52641,2024,41,,,,
52641,2023,10,,,,
52641,2022,41,,,,
52645,2022,45,,,,
52667,2025,9,,,,
52667,2024,11,,,,
52667,2023,67,,,,
52667,2022,67,,,,
52701,2025,1,,,,
52701,2024,1,,,,
52701,2023,1,,,,
52701,2022,1,,,,
52704,2025,9,,,,
52704,2024,65,,,,
52704,2023,12,,,,
52704,2022,4,,,,
52705,2023,65,,,,
52705,2022,65,,,,
52707,2022,22,,,,
52710,2025,6,,,,
52710,2024,6,,,,
52710,2023,94,,,,
52712,2022,12,,,,
52715,2023,39,,,,
52715,2022,93,,,,
52720,2024,20,,,,
52720,2023,20,,,,
52720,2022,20,,,,
52731,2025,113,,,,
52731,2023,29,,,,
52731,2022,31,,,,
52764,2025,59,,,,
52764,2024,94,,,,
52764,2023,64,,,,
52764,2022,64,,,,
52769,2025,17,,,,
52769,2024,17,,,,
52769,2023,56,,,,
52769,2022,69,,,,
52803,2025,36,,,,
52804,2025,52,,,,
52809,2025,65,,,,
52873,2025,49,,,,
52902,2023,69,,,,
52902,2022,101,,,,
52903,2025,64,,,,
52903,2024,64,,,,
52903,2023,64,,,,
52903,2022,64,,,,
52904,2022,4,,,,
52950,2022,50,,,,
52994,2025,111,,,,
52994,2024,82,,,,
52994,2022,94,,,,
53006,2024,99,,,,
53006,2023,99,,,,
53029,2024,118,,,,
53029,2023,29,,,,
53036,2024,119,,,,
53036,2023,36,,,,
53040,2023,40,,,,
53057,2023,57,,,,
53058,2024,58,,,,
53058,2023,58,,,,
53123,2025,23,,,,
53123,2023,23,,,,
53139,2025,39,,,,
53144,2025,55,,,,
53164,2025,99,,,,
53164,2024,43,,,,
53164,2023,43,,,,
53204,2025,26,,,,
53204,2024,26,,,,
53204,2023,108,,,,
53211,2023,11,,,,
53233,2023,33,,,,
53259,2025,41,,,,
53259,2024,59,,,,
53259,2023,59,,,,
53262,2025,20,,,,
53262,2024,62,,,,
53262,2023,62,,,,
53296,2024,67,,,,
53296,2023,96,,,,
53298,2024,69,,,,
53298,2023,98,,,,
53300,2025,0,,,,
53300,2024,39,,,,
53300,2023,0,,,,
53301,2025,35,,,,
53301,2024,0,,,,
53301,2023,1,,,,
53302,2025,26,,,,
53302,2024,92,,,,
53302,2023,8,,,,
53303,2024,9,,,,
53303,2023,63,,,,
53305,2025,56,,,,
53305,2024,64,,,,
53305,2023,5,,,,
53309,2025,98,,,,
53309,2024,98,,,,
53309,2023,9,,,,
53312,2025,12,,,,
53312,2024,12,,,,
53312,2023,12,,,,
53322,2023,22,,,,
53327,2024,27,,,,
53327,2023,27,,,,
53344,2025,47,,,,
53344,2024,22,,,,
53344,2023,44,,,,
53375,2025,75,,,,
53375,2024,75,,,,
53375,2023,75,,,,
53400,2024,0,,,,
53400,2023,0,,,,
53404,2024,50,,,,
53404,2023,46,,,,
53455,2025,1,,,,
53455,2024,55,,,,
53455,2023,55,,,,
53460,2023,60,,,,
53469,2024,49,,,,
53469,2023,69,,,,
53505,2023,63,,,,
53506,2023,4,,,,
53546,2024,46,,,,
53546,2023,46,,,,
53554,2025,2,,,,
53554,2024,2,,,,
53554,2023,2,,,,
53554,2022,3,,,,
53560,2023,60,,,,
53562,2024,62,,,,
53562,2023,62,,,,
53568,2024,68,,,,
53568,2023,68,,,,
53569,2025,106,,,,
53569,2024,69,,,,
53569,2023,69,,,,
53587,2023,87,,,,
53594,2024,54,,,,
53594,2023,94,,,,
53596,2023,96,,,,
53609,2025,0,,,,
53609,2024,0,,,,
53609,2023,9,,,,
53613,2025,13,,,,
53613,2024,13,,,,
53613,2023,13,,,,
53645,2023,45,,,,
53659,2025,64,,,,
53659,2024,59,,,,
53659,2023,59,,,,
53664,2023,64,,,,
53665,2024,65,,,,
53665,2023,65,,,,
53712,2023,12,,,,
53714,2024,34,,,,
53714,2023,34,,,,
53716,2023,3,,,,
53734,2023,34,,,,
53754,2025,44,,,,
53754,2024,54,,,,
53754,2023,54,,,,
53764,2025,51,,,,
53764,2024,64,,,,
53764,2023,64,,,,
53795,2024,49,,,,
53795,2023,95,,,,
53827,2025,27,,,,
53892,2025,92,,,,
53898,2025,28,,,,
53909,2023,9,,,,
53913,2023,13,,,,
53919,2025,43,,,,
53919,2024,43,,,,
53919,2023,19,,,,
53927,2024,57,,,,
53927,2023,57,,,,
53955,2023,55,,,,
53973,2025,20,,,,
53973,2024,73,,,,
53973,2023,73,,,,
53991,2025,42,,,,
53991,2024,42,,,,
53991,2023,70,,,,
53992,2025,60,,,,
53992,2024,60,,,,
53992,2023,92,,,,
53996,2024,27,,,,
53996,2023,96,,,,
54011,2025,60,,,,
54063,2024,63,,,,
54064,2024,64,,,,
54119,2025,30,,,,
54148,2025,48,,,,
54149,2025,49,,,,
54156,2025,52,,,,
54166,2025,66,,,,
54205,2025,5,,,,
54205,2024,5,,,,
54213,2025,4,,,,
54213,2024,4,,,,
54214,2025,9,,,,
54214,2024,58,,,,
54219,2025,11,,,,
54219,2024,11,,,,
54236,2025,3,,,,
54236,2024,36,,,,
54243,2024,43,,,,
54263,2025,63,,,,
54263,2024,63,,,,
54295,2024,95,,,,
54304,2025,45,,,,
54304,2024,45,,,,
54305,2025,5,,,,
54305,2024,5,,,,
54306,2025,91,,,,
54306,2024,4,,,,
54307,2025,33,,,,
54307,2024,33,,,,
54319,2025,19,,,,
54319,2024,19,,,,
54344,2025,44,,,,
54344,2024,44,,,,
54354,2024,54,,,,
54362,2025,62,,,,
54362,2024,62,,,,
54363,2025,63,,,,
54363,2024,63,,,,
54368,2025,68,,,,
54368,2024,68,,,,
54394,2025,86,,,,
54394,2024,94,,,,
54400,2025,0,,,,
54400,2024,0,,,,
54401,2025,44,,,,
54401,2024,44,,,,
54404,2025,4,,,,
54404,2024,4,,,,
54408,2025,68,,,,
54408,2024,68,,,,
54424,2024,24,,,,
54443,2025,43,,,,
54443,2024,43,,,,
54444,2025,4,,,,
54444,2024,44,,,,
54452,2024,52,,,,
54460,2025,60,,,,
54460,2024,60,,,,
54503,2025,58,,,,
54503,2024,58,,,,
54506,2025,39,,,,
54506,2024,36,,,,
54507,2025,62,,,,
54507,2024,55,,,,
54529,2025,29,,,,
54529,2024,29,,,,
54537,2025,57,,,,
54537,2024,37,,,,
54561,2024,61,,,,
54567,2025,67,,,,
54567,2024,67,,,,
54595,2024,95,,,,
54598,2025,30,,,,
54598,2024,98,,,,
54608,2025,61,,,,
54608,2024,28,,,,
54612,2024,12,,,,
54614,2025,12,,,,
54614,2024,12,,,,
54615,2024,2,,,,
54640,2025,40,,,,
54640,2024,40,,,,
54645,2025,49,,,,
54645,2024,45,,,,
54664,2024,64,,,,
54666,2024,66,,,,
54705,2025,62,,,,
54705,2024,62,,,,
54720,2024,20,,,,
54729,2025,29,,,,
54729,2024,29,,,,
54730,2024,30,,,,
