playerid,lahmanID,managerID,hofID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,namefirst,namelast,nameNote,nameGiven,nameNick,weight,Height,bats,throws,debut,finalGame,college,lahman40ID,lahman45ID,retroID,holtzID,BBrefMiLBid,DraftValue,Fastball,Changeup,Curve,Slider,Sinker,Splitter,Forkball,Cutter,Knuckleball,KnuckleCurve,CircleChange,Screwball,pexp,cexp,1bexp,2bexp,ssexp,3bexp,lfexp,cfexp,rfexp,infrange,inferror,infarm,infdp,cability,carm,ofrange,oferror,ofarm,Ethnicity,Arm Slot,Arm Slot.1,Name_ko,High,position
50636,50636,,,1990.0,4.0,27.0,United States,,,,,,,,,Aaron,Brooks,,,,229.0,76.0,R,R,,,,,,,,2050636,,4.0,3.0,5.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,브룩스,,
63938,63938,,,1983.0,3.0,26.0,United States,,,,,,,,,Eric,Hacker,,,,229.0,73.0,R,R,,,,,,,,2063938,,1.0,6.0,3.0,2.0,4.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,해커,,
61240,61240,,,1981.0,5.0,6.0,United States,,,,,,,,,Nippert,Dustin,,,,227.0,80.0,R,R,,,,,,,,2061240,,1.0,3.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,니퍼트,,
68135,68135,,,1989.0,9.0,25.0,United States,,,,,,,,,Tylor,Wilson,,,,185.0,74.0,R,R,,,,,,,,2068135,,3.0,5.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,윌슨,,
54930,54930,,,1992.0,11.0,23.0,United States,,,,,,,,,Kyle,Hart,,,,198.0,77.0,L,L,,,,,,,,2054930,,1.0,4.0,,2.0,3.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,하트,,
67313,67313,,,1988.0,2.0,10.0,United States,,,,,,,,,Brigham,Jake,,,,198.0,75.0,R,R,,,,,,,,2067313,,4.0,5.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,브리검,,
79430,79430,,,1975.0,10.0,1.0,United States,,,,,,,,,Brandon,Knight,,,The Knight,174.0,72.0,L,R,,,,,,,,2079430,,3.0,5.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,나이트,,
70143,70143,,,1969.0,7.0,21.0,United States,,,,,,,,,Denny,Harriger,,,,181.0,71.0,R,R,,,,,,,,2070143,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,해리거,,
75333,75333,75333.0,,1970.0,5.0,14.0,United States,,,,,,,,,Larry,Sutton,,,,174.0,71.0,L,L,,,,,,,,2075333,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,서튼,,
53546,53546,,,1989.0,5.0,24.0,United States,,,,,,,,,Aaron,Wilkerson,,,,229.0,74.0,R,R,,,,,,,,2053546,,1.0,3.0,5.0,4.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,윌커슨,,
63939,63939,,,1985.0,10.0,25.0,United States,,,,,,,,,Charley,Shirek,,,,205.0,75.0,R,R,,,,,,,,2063939,,1.0,4.0,5.0,2.0,3.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,찰리,,
69343,69343,,,1989.0,7.0,29.0,United States,,,,,,,,,Eric,Jokisch,,,,205.0,74.0,R,L,,,,,,,,2069343,,,3.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,요키시,,
50404,50404,,,1989.0,5.0,11.0,United States,,,,,,,,,David,Buchanan,,,,198.0,75.0,R,R,,,,,,,,2050404,,1.0,2.0,4.0,3.0,6.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,뷰캐넌,,
71649,71649,,,1973.0,1.0,10.0,United States,,,,,,,,,Gary,Rath,,,,181.0,75.0,L,L,,,,,,,,2071649,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,레스,,
63810,63810,,,1983.0,10.0,13.0,United States,,,,,,,,,Chris,Seddon,,,,220.0,76.0,L,L,,,,,,,,2063810,,1.0,3.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,세든,,
52528,52528,,,1995.0,10.0,1.0,United States,,,,,,,,,Charlie,Barnes,,,,201.0,74.0,L,L,,,,,,,,2052528,,1.0,3.0,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,반즈,,
80587,80587,,,1966.0,6.0,13.0,United States,,,,,,,,,Scott,Coolbaugh,,,,,,R,R,,,,,,,,2080587,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,쿨바,,
65546,65546,,,1988.0,6.0,29.0,United States,,,,,,,,,Brooks,Raley,,,,185.0,75.0,L,L,,,,,,,,2065546,,1.0,4.0,5.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,레일리,,
69103,69103,,,1989.0,10.0,4.0,United States,,,,,,,,,Casey,Kelly,,,,216.0,75.0,R,R,,,,,,,,2069103,,3.0,5.0,1.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,켈리,,
98233,98233,,,1969.0,8.0,19.0,United States,,,,,,,,,Tyrone,Woods,,,Black Bear,220.0,72.0,R,R,,,,,,,,2098233,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,African,4.0,4.0,우즈,,
54452,54452,,,1996.0,1.0,24.0,United States,,,,,,,,,Connor,Seabold,,,,209.0,74.0,R,R,,,,,,,,2054452,,1.0,3.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,코너,,
52145,52145,,,1991.0,10.0,3.0,United States,,,,,,,,,Adam,Plutko,,,,209.0,75.0,R,R,,,,,,,,2052145,,1.0,4.0,3.0,2.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,플럿코,,
68345,68345,,,1987.0,9.0,28.0,United States,,,,,,,,,Jerry,Sands,,,,231.0,76.0,R,R,,,,,,,,2068345,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Caucasian,4.0,4.0,샌즈,,
